,FirstName,LastName,Name,Party,PartyState,State,State_Abbrev,_merge,bioguide,district,had_challenger,inc_name,inc_party,inc_ran,inc_won,runnerup_party,runnerup_votes,winner_party,winner_votes
385,,,,,,,,right_only,,OH-05,1,"Latta, Bob",R,1,1,D,"100,392",R,"244,599"
386,,,,,,,,right_only,,OH-10,1,"Turner, Michael",R,1,1,D,"109,981",R,"215,724"
387,,,,,,,,right_only,,OH-11,1,"Fudge, Marcia",D,1,1,R,"59,769",D,"242,917"
388,,,,,,,,right_only,,OH-12,1,"Tiberi, Patrick",R,1,1,D,"112,638",R,"251,266"
389,,,,,,,,right_only,,OH-14,1,"Joyce, David",R,1,1,D,"130,907",R,"219,191"
390,,,,,,,,right_only,,OH-16,1,"Renacci, Jim",R,1,1,D,"119,830",R,"225,794"
391,,,,,,,,right_only,,OK-03,1,"Lucas, Frank",R,1,1,D,"63,090",R,"227,525"
392,,,,,,,,right_only,,OR-04,1,"DeFazio, Peter",D,1,1,R,"157,743",D,"220,628"
393,,,,,,,,right_only,,PA-01,1,"Brady, Bob",D,1,1,R,"53,219",D,"245,791"
394,,,,,,,,right_only,,PA-06,1,"Costello, Ryan",R,1,1,D,"155,000",R,"207,469"
395,,,,,,,,right_only,,PA-07,1,"Meehan, Pat",R,1,1,D,"153,824",R,"225,678"
396,,,,,,,,right_only,,PA-08,1,"Fitzpatrick, Brian",R,1,1,D,"173,555",R,"207,263"
397,,,,,,,,right_only,,PA-09,1,"Schuster, Bill",R,1,1,D,"107,985",R,"186,580"
398,,,,,,,,right_only,,PA-12,1,"Rothfus, Keith",R,1,1,D,"137,353",R,"221,851"
399,,,,,,,,right_only,,PA-13,0,"Boyle, Brendan",D,1,1,NONE,0,D,"239,316"
400,,,,,,,,right_only,,PA-14,1,"Doyle, Michael",D,1,1,R,"87,999",D,"255,293"
401,,,,,,,,right_only,,PA-15,1,"Dent, Charlie",R,1,1,D,"124,129",R,"190,618"
402,,,,,,,,right_only,,RI-01,1,"Cicilline, David",D,1,1,R,"71,023",D,"130,534"
403,,,,,,,,right_only,,RI-02,1,"Langevin, Jim",D,1,1,R,"70,301",D,"133,108"
404,,,,,,,,right_only,,SC-06,1,"Clyburn, Jim",D,1,1,R,"70,099",D,"177,947"
405,,,,,,,,right_only,,SD-AL,1,"Noem, Kristi",R,1,1,D,"132,810",R,"237,163"
406,,,,,,,,right_only,,TN-01,1,"Roe, Phil",R,1,1,D,"39,024",R,"198,293"
407,,,,,,,,right_only,,TN-02,1,"Duncan, John",R,1,1,D,"68,401",R,"212,455"
408,,,,,,,,right_only,,TN-03,1,"Fleischmann, Chuck",R,1,1,D,"76,727",R,"176,613"
409,,,,,,,,right_only,,TX-07,1,"Culberson, John",R,1,1,D,"111,991",R,"143,542"
410,,,,,,,,right_only,,TX-10,1,"McCaul, Michael",R,1,1,D,"120,170",R,"179,221"
411,,,,,,,,right_only,,TX-11,1,"Conaway, Michael",R,1,1,L,"23,677",R,"201,871"
412,,,,,,,,right_only,,TX-14,1,"Weber, Randy",R,1,1,D,"99,054",R,"160,631"
413,,,,,,,,right_only,,TX-18,1,"Jackson-Lee, Sheila",D,1,1,R,"48,306",D,"150,157"
414,,,,,,,,right_only,,TX-19,1,"Arrington, Jodey",R,1,1,L,"17,376",R,"176,314"
415,,,,,,,,right_only,,TX-26,1,"Burgess, Michael",R,1,1,D,"94,507",R,"211,730"
416,,,,,,,,right_only,,TX-30,1,"Johnson, E.B.",D,1,1,R,"41,518",D,"170,502"
417,,,,,,,,right_only,,TX-31,1,"Carter, John",R,1,1,D,"103,852",R,"166,060"
418,,,,,,,,right_only,,TX-33,1,"Veasey, Marc",D,1,1,R,"33,222",D,"93,147"
419,,,,,,,,right_only,,UT-04,1,"Love, Mia",R,1,1,D,"113,413",R,"147,597"
420,,,,,,,,right_only,,VA-01,1,"Wittman, Rob",R,1,1,D,"140,785",R,"230,213"
421,,,,,,,,right_only,,VA-03,1,"Scott, Bobby",D,1,1,R,"103,289",D,"208,337"
422,,,,,,,,right_only,,VA-04,0,"McEachin, Donald",R,0,0,R,"145,731",D,"200,136"
423,,,,,,,,right_only,,VA-05,0,"Garrett, Tom",R,0,0,D,"148,339",R,"207,758"
424,,,,,,,,right_only,,VA-08,1,"Beyer, Don",D,1,1,R,"98,387",D,"246,653"
425,,,,,,,,right_only,,VA-09,1,"Griffith, Morgan",R,1,1,D,"87,877",R,"212,838"
426,,,,,,,,right_only,,VA-11,0,"Connolly, Gerry",D,1,1,Write in,"34,185",D,"247,818"
427,,,,,,,,right_only,,WA-01,1,"DelBene, Suzan",D,1,1,R,"155,779",D,"193,619"
428,,,,,,,,right_only,,WA-08,1,"Reichert, David",R,1,1,D,"127,720",R,"193,145"
429,,,,,,,,right_only,,WI-01,1,"Ryan, Paul",R,1,1,D,"107,003",R,"230,072"
430,,,,,,,,right_only,,WI-05,1,"Sensenbrenner, Jim",R,1,1,D,"114,477",R,"260,706"
431,,,,,,,,right_only,,WI-07,1,"Duffy, Sean",R,1,1,D,"138,643",R,"223,418"
432,,,,,,,,right_only,,WV-01,1,"McKinley, David",R,1,1,D,"73,534",R,"163,469"
433,,,,,,,,right_only,,WV-02,1,"Mooney, Alex",R,1,1,D,"101,207",R,"140,807"
434,,,,,,,,right_only,,WV-03,1,"Jenkins, Evan",R,1,1,D,"49,708",R,"140,741"
0, Kelly,Ayotte,"Ayotte, Kelly",Republican,Republican - New Hampshire,New Hampshire,NH,,A000368,NH,1,Ayotte,R,1,0,R,"353,632",D,"354,649"
1, Michael F.,Bennet,"Bennet, Michael F.",Democratic,Democratic - Colorado,Colorado,CO,,B001267,CO,1,Bennet,D,1,1,R,"1,215,318",D,"1,370,710"
2, Richard,Blumenthal,"Blumenthal, Richard",Democratic,Democratic - Connecticut,Connecticut,CT,,B001277,CT,1,Blumenthal,D,1,1,R,"552,621",D,"1,008,714"
3, Roy,Blunt,"Blunt, Roy",Republican,Republican - Missouri,Missouri,MO,,B000575,MO,1,Blunt,R,1,1,D,"1,300,200",R,"1,378,458"
4, John,Boozman,"Boozman, John",Republican,Republican - Arkansas,Arkansas,AR,,B001236,AR,1,Boozman,R,1,1,D,"400,602",R,"661,984"
5, Barbara,Boxer,"Boxer, Barbara",Democratic,Democratic - California,California,CA,,B000711,CA,0,Boxer,D,0,0,D,"4,701,417",D,"7,542,753"
6, Richard,Burr,"Burr, Richard",Republican,Republican - North Carolina,North Carolina,NC,,B001135,NC,1,Burr,R,1,1,D,"2,128,165",R,"2,395,376"
7, Mike,Crapo,"Crapo, Mike",Republican,Republican - Idaho,Idaho,ID,,C000880,ID,1,Crapo,R,1,1,D,"188,249",R,"449,017"
8, Chuck,Grassley,"Grassley, Chuck",Republican,Republican - Iowa,Iowa,IA,,G000386,IA,1,Grassley,R,1,1,D,"549,460",R,"926,007"
9, John,Hoeven,"Hoeven, John",Republican,Republican - North Dakota,North Dakota,ND,,H001061,ND,1,Hoeven,R,1,1,D,"58,116",R,"268,788"
10, Johnny,Isakson,"Isakson, Johnny",Republican,Republican - Georgia,Georgia,GA,,I000055,GA,1,Isakson,R,1,1,D,"1,599,726",R,"2,135,806"
11, Mark Steven,Kirk,"Kirk, Mark Steven",Republican,Republican - Illinois,Illinois,IL,,K000360,IL,1,Kirk,R,1,0,R,"2,184,692",D,"3,012,940"
12, James,Lankford,"Lankford, James",Republican,Republican - Oklahoma,Oklahoma,OK,,L000575,OK,1,Lankford,R,1,1,D,"355,911",R,"980,892"
13, Patrick J.,Leahy,"Leahy, Patrick J.",Democratic,Democratic - Vermont,Vermont,VT,,L000174,VT,1,Leahy,D,1,1,R,"103,637",D,"192,243"
14, Mike,Lee,"Lee, Mike",Republican,Republican - Utah,Utah,UT,,L000577,UT,1,Lee,R,1,1,D,"301,860",R,"760,241"
15, John,McCain,"McCain, John",Republican,Republican - Arizona,Arizona,AZ,,M000303,AZ,1,McCain,R,1,1,D,"1,031,245",R,"1,359,267"
16, Barbara A.,Mikulski,"Mikulski, Barbara A.",Democratic,Democratic - Maryland,Maryland,MD,,M000702,MD,0,Mikulski,D,0,0,R,"972,557",D,"1,659,907"
17, Jerry,Moran,"Moran, Jerry",Republican,Republican - Kansas,Kansas,KS,,M000934,KS,1,Moran,R,1,1,D,"379,740",R,"732,376"
18, Frank H.,Murkowski,"Murkowski, Frank H.",Republican,Republican - Alaska,Alaska,AK,,M001085,AK,1,Murkowski,R,1,1,D,36200,R,138149
19, Lisa,Murkowski,"Murkowski, Lisa",Republican,Republican - Alaska,Alaska,AK,,M001153,AK,1,Murkowski,R,1,1,D,36200,R,138149
20, Patty,Murray,"Murray, Patty",Democratic,Democratic - Washington,Washington,WA,,M001111,WA,1,Murray,D,1,1,R,"1,329,338",D,"1,913,979"
21, Rand,Paul,"Paul, Rand",Republican,Republican - Kentucky,Kentucky,KY,,P000603,KY,1,Paul,R,1,1,D,"813,246",R,"1,090,177"
22, Mike,Pence,"Pence, Mike",Republican,Republican - Indiana,Indiana,IN,,P000587,IN,0,Pence,R,0,0,D,"1,158,947",R,"1,423,991"
23, Rob,Portman,"Portman, Rob",Republican,Republican - Ohio,Ohio,OH,,P000449,OH,1,Portman,R,1,1,D,"1,996,908",R,"3,118,567"
24, Harry,Reid,"Reid, Harry",Democratic,Democratic - Nevada,Nevada,NV,,R000146,NV,0,Reid,D,0,0,R,"495,079",D,"521,994"
25, Marco,Rubio,"Rubio, Marco",Republican,Republican - Florida,Florida,FL,,R000595,FL,1,Rubio,R,1,1,D,"4,122,088",R,"4,835,191"
26, Brian,Schatz,"Schatz, Brian",Democratic,Democratic - Hawaii,Hawaii,HI,,S001194,HI,1,Schatz,D,1,1,R,"92,653",D,"306,604"
27, Charles E.,Schumer,"Schumer, Charles E.",Democratic,Democratic - New York,New York,NY,,S000148,NY,1,Schumer,D,1,1,R,"2,009,353",D,"5,221,949"
28, Tim,Scott,"Scott, Tim",Republican,Republican - South Carolina,South Carolina,SC,,S001184,SC,1,Scott,R,1,1,D,"757,022",R,"1,241,609"
29, Richard C.,Shelby,"Shelby, Richard C.",Democratic,Democratic - Alabama,Alabama,AL,,S000320,AL,1,Shelby,R,1,1,D,"748,709",R,"1,335,104"
30, John,Thune,"Thune, John",Republican,Republican - South Dakota,South Dakota,SD,,T000250,SD,1,Thune,R,1,1,D,"104,140",R,"265,516"
31, Pat,Toomey,"Toomey, Pat",Republican,Republican - Pennsylvania,Pennsylvania,PA,,T000461,PA,1,Toomey,R,1,1,D,"2,865,012",R,"2,951,702"
32, David,Vitter,"Vitter, David",Republican,Republican - Louisiana,Louisiana,LA,,V000127,LA,0,Vitter,R,0,0,D,"337,833",R,"482,591"
33, Ron,Wyden,"Wyden, Ron",Democratic,Democratic - Oregon,Oregon,OR,,W000779,OR,1,Wyden,D,1,1,R,"651,106",D,"1,105,119"
