,_merge,id.govtrack,handle,name.official_full,bio.gender,terms,week1,week2,week3,week4,week5,week6,week7,week8,week9
52,left_only,400029,reprobbishop,Rob Bishop,M,"[{u'end': u'2005-01-03', u'district': 1, u'url': u'http://www.house.gov/robbishop', u'start': u'2003-01-07', u'state': u'UT', u'party': u'Republican', u'type': u'rep'}, {u'end': u'2007-01-03', u'district': 1, u'url': u'http://www.house.gov/robbishop', u'start': u'2005-01-04', u'state': u'UT', u'party': u'Republican', u'type': u'rep'}, {u'end': u'2009-01-03', u'district': 1, u'url': u'http://www.house.gov/robbishop', u'start': u'2007-01-04', u'state': u'UT', u'party': u'Republican', u'type': u'rep'}, {u'end': u'2011-01-03', u'district': 1, u'url': u'http://www.house.gov/robbishop', u'start': u'2009-01-06', u'state': u'UT', u'party': u'Republican', u'type': u'rep'}, {u'fax': u'202-225-5857', u'end': u'2013-01-03', u'district': 1, u'office': u'123 Cannon House Office Building', u'phone': u'202-225-0453', u'url': u'http://www.house.gov/robbishop', u'start': u'2011-01-05', u'state': u'UT', u'address': u'123 Cannon HOB; Washington DC 20515-4401', u'party': u'Republican', u'type': u'rep', u'contact_form': u'http://robbishop.house.gov/ZipAuth.aspx'}, {u'rss_url': u'http://robbishop.house.gov/news/rss.aspx', u'fax': u'202-225-5857', u'end': u'2015-01-03', u'district': 1, u'office': u'123 Cannon House Office Building', u'phone': u'202-225-0453', u'url': u'http://robbishop.house.gov', u'start': u'2013-01-03', u'state': u'UT', u'address': u'123 Cannon HOB; Washington DC 20515-4401', u'party': u'Republican', u'type': u'rep', u'contact_form': u'https://robbishop.house.gov/contact/contactform.htm'}, {u'rss_url': u'http://robbishop.house.gov/news/rss.aspx', u'fax': u'202-225-5857', u'end': u'2017-01-03', u'district': 1, u'office': u'123 Cannon House Office Building', u'phone': u'202-225-0453', u'url': u'http://robbishop.house.gov', u'start': u'2015-01-06', u'state': u'UT', u'address': u'123 Cannon HOB; Washington DC 20515-4401', u'party': u'Republican', u'type': u'rep', u'contact_form': u'https://robbishop.house.gov/contact/contactform.htm'}, {u'rss_url': u'http://robbishop.house.gov/news/rss.aspx', u'fax': u'202-225-5857', u'end': u'2019-01-03', u'district': 1, u'office': u'123 Cannon House Office Building', u'phone': u'202-225-0453', u'url': u'http://robbishop.house.gov', u'start': u'2017-01-03', u'state': u'UT', u'address': u'123 Cannon HOB; Washington DC 20515-4401', u'party': u'Republican', u'type': u'rep'}]",,,,,,,,,
56,left_only,400033,blumenauermedia,Earl Blumenauer,M,"[{u'end': u'1997-01-03', u'district': 3, u'start': u'1996-05-21', u'state': u'OR', u'party': u'Democrat', u'type': u'rep'}, {u'end': u'1999-01-03', u'district': 3, u'start': u'1997-01-07', u'state': u'OR', u'party': u'Democrat', u'type': u'rep'}, {u'end': u'2001-01-03', u'district': 3, u'start': u'1999-01-06', u'state': u'OR', u'party': u'Democrat', u'type': u'rep'}, {u'end': u'2003-01-03', u'district': 3, u'start': u'2001-01-03', u'state': u'OR', u'party': u'Democrat', u'type': u'rep'}, {u'end': u'2005-01-03', u'district': 3, u'url': u'http://www.house.gov/blumenauer', u'start': u'2003-01-07', u'state': u'OR', u'party': u'Democrat', u'type': u'rep'}, {u'end': u'2007-01-03', u'district': 3, u'url': u'http://www.house.gov/blumenauer', u'start': u'2005-01-04', u'state': u'OR', u'party': u'Democrat', u'type': u'rep'}, {u'end': u'2009-01-03', u'district': 3, u'url': u'http://blumenauer.house.gov', u'start': u'2007-01-04', u'state': u'OR', u'party': u'Democrat', u'type': u'rep'}, {u'end': u'2011-01-03', u'district': 3, u'url': u'http://blumenauer.house.gov', u'start': u'2009-01-06', u'state': u'OR', u'party': u'Democrat', u'type': u'rep'}, {u'fax': u'202-225-8941', u'end': u'2013-01-03', u'district': 3, u'office': u'1502 Longworth House Office Building', u'phone': u'202-225-4811', u'url': u'http://blumenauer.house.gov', u'start': u'2011-01-05', u'state': u'OR', u'address': u'1502 Longworth HOB; Washington DC 20515-3703', u'party': u'Democrat', u'type': u'rep', u'contact_form': u'http://blumenauer.house.gov/index.php?option=com_email_form&amp;Itemid=206'}, {u'rss_url': u'http://blumenauer.house.gov/index.php?format=feed&amp;type=rss', u'fax': u'202-225-8941', u'end': u'2015-01-03', u'district': 3, u'office': u'1111 Longworth House Office Building', u'phone': u'202-225-4811', u'url': u'http://blumenauer.house.gov', u'start': u'2013-01-03', u'state': u'OR', u'address': u'1111 Longworth HOB; Washington DC 20515-3703', u'party': u'Democrat', u'type': u'rep', u'contact_form': u'https://forms.house.gov/blumenauer/webforms/issue_subscribe.html'}, {u'rss_url': u'http://blumenauer.house.gov/index.php?format=feed&amp;type=rss', u'fax': u'202-225-8941', u'end': u'2017-01-03', u'district': 3, u'office': u'1111 Longworth House Office Building', u'phone': u'202-225-4811', u'url': u'http://blumenauer.house.gov', u'start': u'2015-01-06', u'state': u'OR', u'address': u'1111 Longworth HOB; Washington DC 20515-3703', u'party': u'Democrat', u'type': u'rep', u'contact_form': u'https://forms.house.gov/blumenauer/webforms/issue_subscribe.html'}, {u'rss_url': u'http://blumenauer.house.gov/index.php?format=feed&amp;type=rss', u'fax': u'202-225-8941', u'end': u'2019-01-03', u'district': 3, u'office': u'1111 Longworth House Office Building', u'phone': u'202-225-4811', u'url': u'https://blumenauer.house.gov', u'start': u'2017-01-03', u'state': u'OR', u'address': u'1111 Longworth HOB; Washington DC 20515-3703', u'party': u'Democrat', u'type': u'rep'}]",,,,,,,,,
70,left_only,400063,repmikecapuano,Michael E. Capuano,M,"[{u'end': u'2001-01-03', u'district': 8, u'start': u'1999-01-06', u'state': u'MA', u'party': u'Democrat', u'type': u'rep'}, {u'end': u'2003-01-03', u'district': 8, u'start': u'2001-01-03', u'state': u'MA', u'party': u'Democrat', u'type': u'rep'}, {u'end': u'2005-01-03', u'district': 8, u'url': u'http://www.house.gov/capuano', u'start': u'2003-01-07', u'state': u'MA', u'party': u'Democrat', u'type': u'rep'}, {u'end': u'2007-01-03', u'district': 8, u'url': u'http://www.house.gov/capuano', u'start': u'2005-01-04', u'state': u'MA', u'party': u'Democrat', u'type': u'rep'}, {u'end': u'2009-01-03', u'district': 8, u'url': u'http://www.house.gov/capuano', u'start': u'2007-01-04', u'state': u'MA', u'party': u'Democrat', u'type': u'rep'}, {u'end': u'2011-01-03', u'district': 8, u'url': u'http://www.house.gov/capuano', u'start': u'2009-01-06', u'state': u'MA', u'party': u'Democrat', u'type': u'rep'}, {u'fax': u'202-225-9322', u'end': u'2013-01-03', u'district': 8, u'office': u'1414 Longworth House Office Building', u'phone': u'202-225-5111', u'url': u'http://www.house.gov/capuano', u'start': u'2011-01-05', u'state': u'MA', u'address': u'1414 Longworth HOB; Washington DC 20515-2108', u'party': u'Democrat', u'type': u'rep', u'contact_form': u'http://www.house.gov/capuano/contact/email.shtml'}, {u'fax': u'202-225-9322', u'end': u'2015-01-03', u'district': 7, u'office': u'1414 Longworth House Office Building', u'phone': u'202-225-5111', u'url': u'http://www.house.gov/capuano', u'start': u'2013-01-03', u'state': u'MA', u'address': u'1414 Longworth HOB; Washington DC 20515-2107', u'party': u'Democrat', u'type': u'rep', u'contact_form': u'http://www.house.gov/capuano/contact/email.shtml'}, {u'fax': u'202-225-9322', u'end': u'2017-01-03', u'district': 7, u'office': u'1414 Longworth House Office Building', u'phone': u'202-225-5111', u'url': u'http://capuano.house.gov', u'start': u'2015-01-06', u'state': u'MA', u'address': u'1414 Longworth HOB; Washington DC 20515-2107', u'party': u'Democrat', u'type': u'rep', u'contact_form': u'http://www.house.gov/capuano/contact/email.shtml'}, {u'fax': u'202-225-9322', u'end': u'2019-01-03', u'district': 7, u'office': u'1414 Longworth House Office Building', u'phone': u'202-225-5111', u'url': u'http://capuano.house.gov', u'start': u'2017-01-03', u'state': u'MA', u'address': u'1414 Longworth HOB; Washington DC 20515-2107', u'party': u'Democrat', u'type': u'rep'}]",,,,,,,,,
78,left_only,412221,yvetteclarke,Yvette D. Clarke,F,"[{u'end': u'2009-01-03', u'district': 11, u'url': u'http://clarke.house.gov', u'start': u'2007-01-04', u'state': u'NY', u'party': u'Democrat', u'type': u'rep'}, {u'end': u'2011-01-03', u'district': 11, u'url': u'http://clarke.house.gov', u'start': u'2009-01-06', u'state': u'NY', u'party': u'Democrat', u'type': u'rep'}, {u'fax': u'202-226-0112', u'end': u'2013-01-03', u'district': 11, u'office': u'1029 Longworth House Office Building', u'phone': u'202-225-6231', u'url': u'http://clarke.house.gov', u'start': u'2011-01-05', u'state': u'NY', u'address': u'1029 Longworth HOB; Washington DC 20515-3211', u'party': u'Democrat', u'type': u'rep', u'contact_form': u'http://clarke.house.gov/contactform_zipcheck.shtml'}, {u'rss_url': u'http://clarke.house.gov/news/rss.aspx', u'fax': u'202-226-0112', u'end': u'2015-01-03', u'district': 9, u'office': u'2351 Rayburn House Office Building', u'phone': u'202-225-6231', u'url': u'http://clarke.house.gov', u'start': u'2013-01-03', u'state': u'NY', u'address': u'2351 Rayburn HOB; Washington DC 20515-3209', u'party': u'Democrat', u'type': u'rep', u'contact_form': u'https://clarke.house.gov/contact/email-me'}, {u'rss_url': u'http://clarke.house.gov/news/rss.aspx', u'fax': u'202-226-0112', u'end': u'2017-01-03', u'district': 9, u'office': u'2351 Rayburn House Office Building', u'phone': u'202-225-6231', u'url': u'http://clarke.house.gov', u'start': u'2015-01-06', u'state': u'NY', u'address': u'2351 Rayburn HOB; Washington DC 20515-3209', u'party': u'Democrat', u'type': u'rep', u'contact_form': u'https://clarke.house.gov/contact/email-me'}, {u'rss_url': u'http://clarke.house.gov/news/rss.aspx', u'fax': u'202-226-0112', u'end': u'2019-01-03', u'district': 9, u'office': u'2058 Rayburn House Office Building', u'phone': u'202-225-6231', u'url': u'https://clarke.house.gov', u'start': u'2017-01-03', u'state': u'NY', u'address': u'2058 Rayburn HOB; Washington DC 20515-3209', u'party': u'Democrat', u'type': u'rep'}]",,,,,,,,,
295,left_only,400406,tiberipress,Patrick J. Tiberi,M,"[{u'end': u'2003-01-03', u'district': 12, u'start': u'2001-01-03', u'state': u'OH', u'party': u'Republican', u'type': u'rep'}, {u'end': u'2005-01-03', u'district': 12, u'url': u'http://www.house.gov/tiberi', u'start': u'2003-01-07', u'state': u'OH', u'party': u'Republican', u'type': u'rep'}, {u'end': u'2007-01-03', u'district': 12, u'url': u'http://www.house.gov/tiberi', u'start': u'2005-01-04', u'state': u'OH', u'party': u'Republican', u'type': u'rep'}, {u'end': u'2009-01-03', u'district': 12, u'url': u'http://tiberi.house.gov', u'start': u'2007-01-04', u'state': u'OH', u'party': u'Republican', u'type': u'rep'}, {u'end': u'2011-01-03', u'district': 12, u'url': u'http://tiberi.house.gov', u'start': u'2009-01-06', u'state': u'OH', u'party': u'Republican', u'type': u'rep'}, {u'fax': u'202-226-4523', u'end': u'2013-01-03', u'district': 12, u'office': u'106 Cannon House Office Building', u'phone': u'202-225-5355', u'url': u'http://tiberi.house.gov', u'start': u'2011-01-05', u'state': u'OH', u'address': u'106 Cannon HOB; Washington DC 20515-3512', u'party': u'Republican', u'type': u'rep', u'contact_form': u'http://www.house.gov/writerep'}, {u'rss_url': u'http://tiberi.house.gov/news/rss.aspx', u'fax': u'202-226-4523', u'end': u'2015-01-03', u'district': 12, u'office': u'106 Cannon House Office Building', u'phone': u'202-225-5355', u'url': u'http://tiberi.house.gov', u'start': u'2013-01-03', u'state': u'OH', u'address': u'106 Cannon HOB; Washington DC 20515-3512', u'party': u'Republican', u'type': u'rep', u'contact_form': u'https://tiberi.house.gov/contact/contactform.htm'}, {u'rss_url': u'http://tiberi.house.gov/news/rss.aspx', u'fax': u'202-226-4523', u'end': u'2017-01-03', u'district': 12, u'office': u'1203 Longworth House Office Building', u'phone': u'202-225-5355', u'url': u'http://tiberi.house.gov', u'start': u'2015-01-06', u'state': u'OH', u'address': u'1203 Longworth HOB; Washington DC 20515-3512', u'party': u'Republican', u'type': u'rep', u'contact_form': u'https://tiberi.house.gov/contact/contactform.htm'}, {u'rss_url': u'http://tiberi.house.gov/news/rss.aspx', u'fax': u'202-226-4523', u'end': u'2019-01-03', u'district': 12, u'office': u'1203 Longworth House Office Building', u'phone': u'202-225-5355', u'url': u'http://tiberi.house.gov', u'start': u'2017-01-03', u'state': u'OH', u'address': u'1203 Longworth HOB; Washington DC 20515-3512', u'party': u'Republican', u'type': u'rep'}]",,,,,,,,,
361,left_only,412545,senangusking,"Angus S. King, Jr.",M,"[{u'rss_url': u'http://www.king.senate.gov/rss/feeds/?type=all', u'fax': u'202-224-1946', u'end': u'2019-01-03', u'office': u'133 Hart Senate Office Building', u'phone': u'202-224-5344', u'url': u'http://www.king.senate.gov', u'state_rank': u'junior', u'contact_form': u'https://www.king.senate.gov/contact', u'start': u'2013-01-03', u'state': u'ME', u'address': u'133 Hart Senate Office Building Washington DC 20510', u'party': u'Independent', u'type': u'sen', u'class': 1, u'caucus': u'Democrat'}]",,,,,,,,,
396,left_only,412582,senkaineoffice,Tim Kaine,M,"[{u'rss_url': u'http://www.kaine.senate.gov/rss/feeds/?type=all', u'fax': u'202-228-6363', u'end': u'2019-01-03', u'office': u'231 Russell Senate Office Building', u'phone': u'202-224-4024', u'url': u'http://www.kaine.senate.gov', u'state_rank': u'junior', u'contact_form': u'https://www.kaine.senate.gov/contact', u'start': u'2013-01-03', u'state': u'VA', u'address': u'231 Russell Senate Office Building Washington DC 20510', u'party': u'Democrat', u'type': u'sen', u'class': 1}]",,,,,,,,,
459,left_only,412664,repamata,Aumua Amata Coleman Radewagen,F,"[{u'fax': u'202-225-8757', u'end': u'2017-01-03', u'district': 0, u'office': u'1339 Longworth House Office Building', u'phone': u'202-225-8577', u'url': u'https://radewagen.house.gov', u'start': u'2015-01-06', u'state': u'AS', u'address': u'1339 Longworth HOB; Washington DC 20515-5200', u'party': u'Republican', u'type': u'rep'}, {u'fax': u'202-225-8757', u'end': u'2019-01-03', u'district': 0, u'office': u'1339 Longworth House Office Building', u'phone': u'202-225-8577', u'url': u'https://radewagen.house.gov', u'start': u'2017-01-03', u'state': u'AS', u'address': u'1339 Longworth HOB; Washington DC 20515-5200', u'party': u'Republican', u'type': u'rep'}]",,,,,,,,,
470,right_only,,candicemiller,,,,1.678195,,0.0296569,-0.969076,,1.08696,,,
471,right_only,,cbrangel,,,,-39.4343566667,-61.711175,-41.164824,-37.333904,-19.49034525,-32.6426424,-8.514975,-4.53695,-18.4588
472,right_only,,conghuelskamp,,,,3.18941,5.334424,9.78492,12.915598,10.034006,3.440394,8.91274,16.6057082,7.4087625
473,right_only,,cynthialummis,,,,0.94139,,-0.000331614,,1.69921,6.58254,2.96809,,6.29808
474,right_only,,johncarneyde,,,,-40.971865,-7.26829,-10.9804,-0.66223,,,,,
475,right_only,,kellyayotte,,,,2.18392316667,7.71948994286,2.974461,4.745522,6.56189833333,3.11131685714,3.4922924,2.86748728571,5.33858571429
476,right_only,,lorettasanchez,,,,-1.37524925,-4.5072466,-26.495005,-36.64735,-5.41892133333,-72.6684,-3.62521,,
477,right_only,,pedropierluisi,,,,,,,-1.04918,,-0.92,,,
478,right_only,,randy_forbes,,,,,,,,,,,,
479,right_only,,randyneugebauer,,,,,6.69974666667,,,,8.69566,1.05825,,
480,right_only,,rep_janicehahn,,,,-4.03617,-101.494743333,-34.026565,-57.2848,-1.69231,-1.82301,-1.9025,-2.45787,-28.1043
481,right_only,,repbecerra,,,,-30.206601,-40.4079683333,-17.2386933333,-5.43249246667,-4.29144325,-3.787882,-2.16768533333,-3.9034875,-12.66116625
482,right_only,,repboustany,,,,1.314222,0.571769,0.974576,9.514873,4.19265333333,,1.552931,0.796748,
483,right_only,,repbradashford,,,,-1.33200342857,-0.859457142857,-1.23548633333,-1.65289,-5.73412333333,-0.0127521666667,-9.02155171429,-1.68808333333,-2.07550016667
484,right_only,,repchrisgibson,,,,,,1.25,,,,,,
485,right_only,,repcorrinebrown,,,,,,,,,,,,
486,right_only,,repcurtclawson,,,,,-1.1656,,,3.88937333333,,,,
487,right_only,,repdold,,,,3.40091428571,2.99362171429,2.83534983333,3.29454588,5.959971,1.953038,2.17609,3.19957,2.58455785714
488,right_only,,repdonnaedwards,,,,-56.44879,-105.078647143,-63.2100157143,-57.5651942857,-37.8243333333,-53.0930671429,-27.95478,-42.72252,-46.0220314286
489,right_only,,repfinchertn08,,,,,7.4625115,,20.33164467,2.20613525,10.8463,4.7449,0.796748,
490,right_only,,repfitzpatrick,,,,0.967105,,0.025,1.585715,,,1.02857,,1.069305
491,right_only,,repfleming,,,,,3.95576,9.73685,31.2619,,3.26087,3.8665,,
492,right_only,,repfrankguinta,,,,,2.88607,0.4748184,3.900565,,1.09709,,13.3235645,2.8401
493,right_only,,repgarrett,,,,0.089041,6.5845,,,,,,,
494,right_only,,repgwengraham,,,,-34.1591698333,-9.42988,-1.3205806975,-2.00957775,-1.0,,,-2.67308666667,-1.50445
495,right_only,,rephardy,,,,2.881545,10.322063,5.22993666667,3.146738,3.6788,3.31474166667,2.34272666667,4.37933025,2.3421875
496,right_only,,repjimmcdermott,,,,2.65374,3.6031155,-68.6345,-1.3454685,0.651087,-0.00205981,,-1.96075,
497,right_only,,repjoeheck,,,,0.757465666667,8.9252375,0.954248,1.378425,2.28095,0.978098666667,1.17822,0.843837333333,1.21569
498,right_only,,repjoepitts,,,,1.7047,7.278476,6.46339,21.2858,2.87303666667,11.71112,6.67931,16.3370633333,
499,right_only,,repjohnkline,,,,,,-0.384204,,,,,,
500,right_only,,repkirkpatrick,,,,-1.31047833333,-5.084469,-9.4169525,-3.57215,-11.751425,-3.621416,-0.382118,-2.77265146,-0.6806467
501,right_only,,reploiscapps,,,,-33.196006,-45.494674,-2.3844825,-22.353045,-1.0,-29.50942,-18.3585175,-20.90466,-35.9949
502,right_only,,repmattsalmon,,,,0.390071,2.465455,4.6782,24.574385,,,0.989362,,1.15957
503,right_only,,repmickmulvaney,,,,4.83552,,,,,,,,
504,right_only,,repmikehonda,,,,-29.1321933333,-97.3387633333,-23.6539772,-2.4249848,-9.42386428571,-19.44412,-12.7034565,-31.43736,-27.7555836
505,right_only,,repmikepompeo,,,,2.8284135,4.825435,6.2626,1.7807105,4.900255,6.71659,0.863636,1.393826,1.92066266667
506,right_only,,repmurphyfl,,,,-38.16512,-1.890587,-7.87526766667,-3.6473936,0.749298428571,-11.5331091933,-29.0875215,-0.00421727,-32.8898566667
507,right_only,,repreneeellmers,,,,9.5557755,14.2123683333,5.58965666667,10.6817925,17.6834033333,9.0957125,2.0807819,12.68976,5.8359
508,right_only,,repribble,,,,3.31492,0.6508228165,4.174186,1.32837,2.298584,,5.53014,0.4283932,1.0
509,right_only,,reprichardhanna,,,,,4.258835,13.179188,10.4365,,,1.05825,,
510,right_only,,reprichnugent,,,,,,,,,,,,
511,right_only,,reproberthurt,,,,0.9958475,-0.091158,1.0158665,,2.36364,,,0.851852,
512,right_only,,reprobinkelly,,,,-14.2585875,-55.32712,-8.32612333333,-8.9345975,-9.3681375,-15.3366333333,-0.848739,-34.5132,0.9667625
513,right_only,,repryanzinke,,,,1.436579622,1.6816428165,0.7152143,0.929032,,,,0.541437433333,1.93878
514,right_only,,repsamfarr,,,,-41.9162438571,-90.888035,-18.3665366667,-28.06575362,-7.37726616667,-13.4307516667,-11.5895033333,-2.476888,-37.468274
515,right_only,,repscottrigell,,,,0.01143,3.8645325,1.367449,0.55051465,,1.916123,-5.71951e-05,,2.4242265
516,right_only,,repsteveisrael,,,,-51.0455711667,-91.03824,-50.4255966667,-40.076849,-27.2631114,-51.41524,-7.96484133333,-41.8548,-38.5850675
517,right_only,,repstutzman,,,,,,,,,,,,
518,right_only,,repthomasmassie,,,,0.884615,0.867052,1.78065,,,,,1.5,
519,right_only,,reptomprice,,,,4.08967758,14.81317,3.254568,9.7586,5.5599572,7.7495325,9.66511066,24.722238,15.817444
520,right_only,,repwestmoreland,,,,1.4520978,9.113618,,0.929032,1.03478,1.552008,1.05825,,
521,right_only,,senatorbarb,,,,,-6.19353,,,,-0.911504,-0.865494,,-29.1756
522,right_only,,senatorboxer,,,,,-6.36807,-61.5652,-24.810395,,-12.8731,-0.857143,,
523,right_only,,senatorkirk,,,,3.650122,2.9924,5.37932,3.88207778,2.53849166667,4.540435,2.69125183333,1.17521166667,2.1654476
524,right_only,,senatorreid,,,,-25.980025,,-2.0785,-25.2034633333,-2.20561,,,,-36.6565
525,right_only,,sendancoats,,,,1.928316,1.221490825,,1.9417025,0.867233766667,3.387825,2.05875,1.81316266667,0.714777
526,right_only,,sengillibrand,,,,-3.49921833333,-9.24306,-6.73841333333,-15.6194283333,-7.45003166667,-21.6737973333,-18.842458,-7.48826833333,-21.0561157143
527,right_only,,usrepdavidjolly,,,,-8.07125,-7.5103775,,1.077513,1.84303666667,4.153915,1.68093,0.673365333333,1.02102810193
528,right_only,,usreprhinojosa,,,,-4.53997,-2.240295,-5.79191,-28.12724,,,,-1.09615,
